"AccountEnabled","DeviceId","DeviceOSType","DeviceOSVersion","DisplayName","DeviceTrustType","ApproximateLastLogonTimeStamp"
"True","392a5f27-dd7f-4d6b-b32f-8b278ab3f5ac","Windows","10.0.15063.0","PMSCYUL1PLAP560","Workplace","10/3/2018 17:11:22"
"True","f52d54da-07d8-467d-99e1-efed8f011e03","Windows","10.0.15063.0","PMSCYUL1PLAP737","Workplace","7/23/2018 03:17:25"
"True","fe1a8551-d465-4914-8200-c1dc101ce3eb","Windows","10.0.18363.1198","PMSCYUL1PLAPA66","ServerAd","2/13/2021 20:19:16"
"True","6f792e85-b1af-43ad-af31-925b1be7636a","Windows","10.0.18363.720","PMSCYUL1PLAPA84","Workplace","1/4/2021 04:26:05"
"True","573b7eec-099e-4d09-bba4-84819f940d9a","Windows","10.0.17134.706","PMSCYUL1PLAP447",,
"True","dc4c282e-7e88-4dbe-8fc4-8a8df27d098d","Windows","10.0.17134.471","PMSCYUL1PLAP465",,
"True","bb80c768-b188-40d3-ae29-f4582153c862","IPhone","13.3.1","Paul?s iPhone","Workplace","3/31/2020 01:28:18"
"True","3f4b336e-5d40-47ee-b082-f1e4f4acf2d7","Windows","10.0.19043.1165","User deleted for this device",,
"True","c991b7fa-1e3b-4502-9ac8-3d23718b902a","Windows 10 Enterprise","10.0 (15063)","PMSCYUL1PLAP910","ServerAd","9/19/2018 14:44:20"
"True","6d147444-a2d1-48dd-802c-69880b1d7cc5","Windows","10.0.15063.0","PMSCYUL1PLAP603","Workplace","9/19/2018 10:50:50"
"True","b57d94dc-ec4f-4cd9-9579-bddab7be2b77","IPhone","14.1","iPhone","Workplace","11/3/2020 03:58:20"
"True","b8ab601e-6a9a-47c4-bb54-468d16f8cde4","Windows","10.0.15063.0","ISTESTFLIP","Workplace","9/5/2017 16:43:25"
"True","0adcb9bc-a1da-444f-bc0a-34b31cb885c3","Android","10","samsungSM-G973W","Workplace","2/12/2021 01:01:40"
"True","30bf3be0-a775-450c-8a1d-5b571efbf3e6","Windows","10.0.18363.1139","PMSCYUL3PLAP133",,"3/30/2021 17:18:33"
"True","563b6345-2ecc-46f3-9849-d1b88e516533","Windows","10.0.22000.318","DESKTOP-S24O5TN","AzureAd","1/7/2022 18:41:01"
"True","c73479d5-d0c2-4b44-9e6b-8607549f17c7","IPhone","14.2","bguilbau_IPhone_3/15/2021_12:26 PM","Workplace","8/14/2021 11:30:52"
"True","1c8cb940-548d-4933-8bc0-3e467296a9ec","Windows","10.0.19042.1052","PMSCYUL1PLAP467","ServerAd","7/19/2021 07:33:39"
"True","4a3499a7-89fa-4620-acc9-2e23e71d4a5f","IPhone","14.8","iPhone de Sandra","Workplace","10/22/2021 00:18:36"
"True","1e42f9f2-74b1-41fe-847c-4a263c491d39","Android","10","HUAWEILYA-L29","Workplace","2/8/2021 07:02:56"
"True","31aff978-5ef1-4664-8958-af101cc19f5b","IPhone","14.0.1","WC iphone","Workplace","12/13/2020 14:50:29"
"True","0e536e07-53bb-4e32-8e37-cab1698ea67a","Windows","10.0.17134.765","PMSCYUL1PLAP456",,
"True","0d5a70fe-6339-488d-8adf-355a95d86f02","Windows","10.0.19041.867","PMSCYUL1PLAP985","ServerAd","10/13/2021 11:09:42"
"True","ba72d95a-87e0-4071-93a4-a8e34acc7d47","iOS","14.2","iPhone de Melanie","Workplace","9/17/2021 17:43:56"
"True","083560df-d132-48db-9910-512e13dfda9c","IPad","12.4.9","Ipad 3 Tarik","Workplace","3/11/2021 12:34:31"
"True","79a1c471-c6af-4e07-a673-385eb703c528","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1PLAP785","ServerAd","3/25/2019 21:43:50"
"True","46df0326-142f-412e-9c30-c5cba1ac6a96","IPad","13.1.3","Oleen?s iPad","Workplace","1/10/2020 14:00:31"
"True","5c3519b8-34cd-4ce3-9493-e1ca6efc5f9c","Windows","10.0.15063.0","PHARMAS-110I0GK","Workplace","4/18/2018 11:28:52"
"True","a4b0ed2d-9a91-4fd7-9002-3a52b3f6ce09","Windows","10.0.17134.648","PMSCYUL1PLAP406",,
"True","e15390d1-fd77-45ed-94b3-4f013cffcc0f","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1PLAP944","ServerAd","1/5/2019 16:09:33"
"True","e30537c4-5525-4021-af02-043f2383cd7e","IPad","13.7","Veronique's iPad","Workplace","9/18/2020 23:05:57"
"True","52f46c82-3ca6-4e03-bf0c-7cd5b8afca30","IPhone","13.7","Sonia ?s iPhone","Workplace","9/19/2020 00:28:05"
"True","157bef77-a338-4a66-bd25-c9ce96b2ca3d","Windows","10.0.15063.0","PMSCYUL1PLAP552","Workplace","11/21/2018 20:14:57"
"True","813c4ea2-64b4-4e11-9308-ff2eff96a056","Windows","10.0.19041.450","PMSCYUL1PLAPC01","ServerAd","9/21/2021 13:39:15"
"True","66e6ddb9-170c-4b5a-b25c-1d22897045a4","IPhone","14.4","Morris?s iPhone","Workplace","2/17/2021 15:00:05"
"True","08419c5d-967f-4808-ab65-4eb57f72fd41","Windows","10.0.15063.0","PHARMAS-BEHKOEN","Workplace","9/28/2017 12:52:28"
"True","1d55d905-5b81-4163-8930-5630deb2e575","Windows","10.0.17134.829","PMSCYUL1PLAP873",,
"True","a25e5a5a-7d39-40fb-b626-a258d0ba4322","IPhone","13.1.3","Genevieve?s iPhone","Workplace","11/7/2019 04:30:30"
"True","6c8e2925-22bd-4354-b47c-c2fb9f20e297","IPhone","13.3","AlarmesBAS.FAB_IPhone_2/15/2021_4:32 PM","Workplace","1/17/2022 13:14:01"
"True","bc814bbb-1ec1-4ca6-9a3b-dece70e83410","Android","10","samsungSM-A705W","Workplace","7/4/2021 04:08:52"
"True","0a669670-6fcf-4daa-9a00-a92a363a3d9f","Windows","10.0.17134.523","PMSCYUL1PLAP638",,
"True","0e97d263-1bef-43eb-b3ff-05d0e24050d1","Windows","10.0.17134.112","PMSCYUL3PLAP189",,
"True","13ad62d4-304b-4de1-a4fa-c9d1f15d4d96","IPhone","14.8.1","iPhone de Daniel","Workplace","12/29/2021 11:47:00"
"True","07be5221-cc4f-4ff3-b70a-a64ac480ea38","Windows","10.0.15063.0","LAPROY-bzlh3h2","Workplace","3/14/2018 14:20:37"
"True","49999a56-20f6-408b-9164-fef7f99ec644","IPhone","12.1.4","Jay's iPhone","Workplace","12/25/2019 04:05:22"
"True","2b9a2fc5-3e7c-4334-8f78-d730c8ae4dbc","Windows","10.0.15063.0","PMSCYUL1PLAP519","Workplace","9/5/2018 15:14:53"
"True","b93cdeb1-1490-4887-83a4-2bcaf2be1e96","Windows","10.0.15063.0","PMSCYUL1PLAP182","Workplace","9/18/2018 14:23:36"
"False","0ea842ca-d68d-4a8d-9282-a4f2aba13b98","Windows","10.0.19041.450","PMSCYUL1PLAP090","ServerAd","11/16/2021 13:27:09"
"True","9ad5bcba-15b2-4f71-b19a-c2f25c352295","Windows","10.0.19043.1466","PMSCYUL1PLAP709","ServerAd","2/4/2022 18:33:58"
"True","6d0af2da-eda3-4b8b-b88b-115bc6963bcd","IPhone","13.7","iPhone","Workplace","6/6/2021 18:18:55"
"True","8e021e17-5aea-4e4e-a623-1f079b20a9e8","IPhone","12.1.4","Marguerite?s iPhone","Workplace","3/18/2019 14:11:37"
"True","a4c45e38-565d-4b2f-9087-fad5d9bec02c","Android","10","samsungSM-G960W","Workplace","9/13/2021 02:11:53"
"True","1abb0ff6-5789-49c5-91e2-580db9fdaef4","Windows","10.0.17134.407","PMSCYUL1PLAP168",,
"True","6e55293c-faa8-451c-a23e-614bbfa89977","Windows","10.0.19042.985","PMSCYUL1PLAP858","ServerAd",
"True","a744c7f2-0bb6-4f72-b9c3-af0251956ee7","Windows","10.0.15063.0","LAPROY-HL983H2","Workplace","9/11/2017 15:45:07"
"True","76e62f11-3492-4020-b739-78dce670b8c1","Windows 10 Enterprise","10.0 (15063)","LAPROY-7RM04H2","ServerAd","9/19/2018 12:43:32"
"True","a34ad2bb-85a4-4474-88cb-bc36cac42b5e","Windows","10.0.19042.1348","PMSCYUL1PLAP206",,
"True","2a87fee2-a017-40c7-b3c6-0193aa4b6edb","Windows","10.0.19043.1586","PMSK1805KSC",,
"True","caed32d2-737f-4ece-aeff-96a8eee4f111","Windows","10.0.15063.0","PMSCYUL1PLAP374","Workplace","4/19/2018 13:50:12"
"True","ba79a619-c495-497d-8e3e-a3c243cbf9be","IPhone","14.7.1","Scott?s iPhone","Workplace","12/7/2021 21:37:24"
"True","16fb72bd-4c4b-444d-841f-fc192d17d900","IPhone","12.4.9","iPhone Denis","Workplace","1/20/2021 20:34:32"
"True","bd885b7c-1033-4a30-b483-35cd0c3a5b14","Windows","10.0.15063.0","PMSCYUL1PLAP798","Workplace","10/17/2018 08:49:42"
"True","7cfaf1b6-80bf-4af6-8018-9b0524d40b60","IPhone","14.2","masimard?s iPhone","Workplace","12/10/2020 12:15:12"
"True","089dde29-a311-4fd1-aa43-600302afccc4","Windows","10.0.19041.928","PMSCYUL1PLAP031","ServerAd","6/24/2021 07:49:50"
"True","f4ca7266-302a-4822-aeb5-1821f72bbe21","Android","9","samsungSM-G950W","Workplace","11/13/2020 15:01:09"
"True","83365605-30d4-4297-9934-2f3174469b4e","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1PLAP078","ServerAd","10/8/2019 15:33:52"
"True","031bddd0-b29d-43a6-8ddc-498370d27531","Windows 10 Enterprise","10.0 (15063)","PHARMAS-IDDEBLA","ServerAd","2/21/2019 18:33:49"
"True","cffd4012-b9b4-4971-af76-04923fd21b93","Windows","10.0.19044.1526","PMSCYUL1PLAP370","ServerAd","3/8/2022 08:47:52"
"True","472ea6e1-0e15-42d2-afa1-5f4fcc7710d7","Windows","10.0.15063.0","PMSCYUL1PLAP304","Workplace","6/4/2018 15:20:45"
"True","a5a6a9c4-426c-455c-b663-60e9b1c24710","IPhone","13.3","scameau?s iPhone","Workplace","6/3/2020 13:27:45"
"True","bf3cce49-90f1-4b7b-b295-0bfab4b494b8","Windows","10.0.17134.765","PMSCYUL1PLAP780",,
"False","396a7d3f-1dd4-4cd4-8cef-d0ea3a6e3f5c","Windows","10.0.17134.1184","PMSCYUL1TLAP001","ServerAd","10/19/2021 14:15:45"
"True","c8fd190c-9e90-4624-848d-32bfc027390a","IPhone","13.3","Vincent?s iPhone","Workplace","7/26/2020 16:09:20"
"False","bdfd43c4-2798-49a2-868e-856993e82dec","Windows","10.0.19042.1083","PMSCYUL1PLAP180","ServerAd","8/16/2021 18:48:45"
"True","64251d20-ed2e-4ebe-a8e7-fe83406ecdde","IPad","12.2","Dara?s iPad","Workplace","6/4/2019 18:20:08"
"True","ac608bf1-3321-4846-b6f9-e2875853f7c8","IPhone","14.2","DTN iPhone","Workplace","12/17/2020 15:35:34"
"True","b7f41ade-7ed7-4a3f-8064-8bc8d0e8a531","IPad","14.7.1","Denis?s iPad (2)","Workplace","9/23/2021 21:23:44"
"True","eba08e69-6044-4097-919f-deaa1ad598db","IPhone","12.1.2","Kiera?s iPhone","Workplace","7/6/2020 15:29:26"
"True","5b927eda-00e8-4b35-928a-f5d594392d19","iOS","14.3","iPhone de Danielle","Workplace","10/6/2021 19:54:17"
"True","2fe40578-a8e0-4626-8a67-df33d13559c3","IPhone","15.3.1","Alim?s iPhone","Workplace","3/13/2022 12:59:20"
"True","e08f31db-3487-4ddb-a402-38ce98b3315f","IPad","12.2","Patrick?s iPad","Workplace","1/20/2020 02:04:42"
"True","50020acb-fcf5-4759-86ca-cfc2b6540cf2","IPhone","13.3.1","Diagnostics?s iPhone","Workplace","4/20/2020 03:28:40"
"True","eac8a548-028a-4205-8f6a-2f1003442e9b","Windows","10.0.19041.804","DESKTOP-BVO8R6I","AzureAd","3/16/2021 10:31:58"
"True","5679a7a6-72a8-4087-ba33-39083886a751","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1TLAP005","ServerAd","10/25/2019 21:17:09"
"True","26231aca-d587-479f-8897-ee5f5437cb8b","Windows Server 2016 Datacenter","10.0 (14393)","PHRPRGCTXVDA2","ServerAd","5/19/2020 19:34:34"
"True","5317af6a-31bf-4a4f-b29e-9e08deda62e1","Android","8.1.0","samsungSM-J327W","Workplace","6/27/2021 15:07:17"
"True","0ead1f98-19f3-48a8-94d1-5faea0fb3674","Windows Server 2016 Standard","10.0 (14393)","RMSMABAP-D$","ServerAd","11/4/2020 04:27:11"
"True","76158816-29da-4c20-99de-e0729ebf98db","Windows","10.0.19042.1348","DESKTOP-2DVEFFM","AzureAd","12/7/2021 19:59:44"
"True","8219c30d-ebe9-4ab9-8d0c-4e300ed838a8","IPhone","14.2","iPhone","Workplace","2/13/2021 11:25:56"
"True","ea280bc7-256f-4f38-8b6a-2f5f52d15b0b","IPad","12.4","Martin?s iPad","Workplace","7/1/2021 11:45:51"
"True","f373d164-34ab-4ed7-884e-9355baa9e1e6","Windows","10.0.18363.0","Den","Workplace","5/3/2020 07:04:49"
"True","7ca9f7e5-37ff-4760-a970-0c68a5f07b8a","Windows","10.0.19043.1288","PMSCYUL4PWKS021","ServerAd","10/5/2021 02:28:57"
"True","4d425bcf-2292-45ae-a7ea-e344f90ab3c8","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1TLAP018","ServerAd","1/15/2020 13:29:44"
"True","3c07065a-6599-49e9-96d9-eb1d8599a1e4","Windows","10.0.17134.523","PMSCYUL1PLAP397",,
"True","7210916b-5259-4c2c-94b9-0275ba5c7ef2","Windows","10.0.17134.112","PMSCYUL3PLAP099",,
"True","fbebf456-d0af-477c-bf0a-a17a82f24937","Android","12","GooglePixel 5","Workplace","10/22/2021 13:21:19"
"True","0c6e55ba-4b3f-48df-8669-a7e98ad4b931","Windows","10.0.17134.648","PMSCYUL1PLAP388",,
"True","2abe7ce1-1bbd-44eb-978b-4d7d34b11210","Windows","Windows 10","CURIE","AzureAd","10/19/2019 07:40:24"
"True","766d95e5-c074-4e2a-b3d5-13937250f1b0","IPad","12.4.1","Allison?s iPad","Workplace","7/28/2020 20:28:22"
"True","f3424299-7d1c-4b5f-aa83-632b11ac5900","IPhone","14.4.2","Sebastien Allouche?s iPhone",,
"True","d12cd33e-aae1-4895-9a1c-f50a86499005","Windows","10.0.17134.471","PMSCYUL1PLAP171",,
"True","0194933c-3363-4842-b58b-ef9e11764912","iOS","12.4.9","yassine?s iPhone","Workplace","6/23/2021 16:44:46"
"True","c02f0beb-47ec-4cef-a077-9169adaf0427","Android","8.1.0","ConfRMExcellence_Android_2/16/2022_8:50 PM",,
"True","7b89387c-9381-431c-a6f9-3998c2c41029","Windows","10.0.15063.0","PHARMAS-DRVIAAA","Workplace","7/16/2018 16:28:42"
"True","92bc9cc0-4619-4c93-8e4d-3e0f504d1703","Windows","10.0.19042.1052","Teguar-013","ServerAd","6/16/2021 13:00:38"
"True","a7fb2294-bcfa-4c11-b737-196e26d4b87f","Windows","10.0.15063.0","PMSCYUL1PLAP540","Workplace","6/5/2018 15:17:17"
"True","a4c6b51e-e9e6-41ab-a1d3-8c52c1366eba","Windows","10.0.15063.0","PMSCYUL1LAP106","Workplace","3/15/2018 20:30:23"
"True","8fb9b606-e1fa-4921-874c-b3f045843240","Windows","10.0.15063.0","PMSCYUL1PLAP475","Workplace","10/4/2018 15:24:55"
"True","102ddffb-4977-48e0-bb03-7f25b1a92cee","Windows","10.0.17134.1425","PMSCYUL1PLAP940","ServerAd","9/14/2020 13:13:21"
"True","023a33ac-c127-4f17-a45c-a2449b73a8d1","Android","10","samsungSM-G973W","Workplace","1/29/2021 17:58:54"
"True","d5614290-a649-40c7-ba41-77a4b0b24b93","IPhone","13.1.3","iPhone de Julie","Workplace","2/16/2020 17:42:58"
"True","88659c02-7481-4c2b-871a-ed98cd73562b","IPhone","14.6","iPhone Marc -Andre","Workplace","6/20/2021 03:43:17"
"True","0690ae80-fa99-4ca2-ad63-d704f61da79e","Windows","10.0.17134.1069","PMSCYUL1PLAP115","ServerAd","3/13/2021 13:37:55"
"True","b5db1cdd-7884-49dd-b788-d2db14a63de0","Windows","10.0.15063.0","PMSCYUL1PLAP863","Workplace","3/12/2020 08:40:30"
"True","cad295c5-6993-4c52-a8f5-c235e6a33152","IPad","14.2","iPad","Workplace","10/5/2021 05:54:22"
"True","bdfebd7f-ef53-4694-a85c-2e0f8c076539","IPad","12.3.1","iPad (2)","Workplace","4/17/2020 09:28:33"
"True","aabf9c18-3daa-48c4-afde-61eb52d98ae9","IPad","13.3.1","iPad (4)","Workplace","4/2/2020 17:28:44"
"True","0405b15d-8def-451c-bb61-2375378602c7","Windows","10.0.15063.0","PMSCYUL3PLAP130","Workplace","10/24/2018 13:57:11"
"True","3a3dbab1-b588-420d-bf91-f778cce92687","Windows","10.0.17134.523","PMSCYUL1PLAP824",,
"True","9340707a-205b-488c-9960-5e67a67c2af5","IPhone","12.4.5","iPhone de Sandra","Workplace","4/8/2020 17:29:27"
"True","2364b108-af95-4a08-99b8-8cabec077f10","IPad","14.4.2","iPad So Bureau","Workplace","5/23/2021 05:28:54"
"True","e25cae7f-19a8-44dc-a238-1425c87b87ba","IPhone","14.4.2","Greg?s iPhone","Workplace","4/9/2021 19:27:45"
"True","2d41d759-604a-4d88-8bb8-776d28f9b4ad","Android","7.1.2","YealinkT56A","Workplace","7/22/2021 14:34:15"
"True","b372d99f-3e4a-498f-99a3-e1cb8d9aecb5","IPhone","14.3","Erika?s iPhone","Workplace","6/29/2021 19:27:57"
"True","60f0ba2c-39bb-4401-b6af-7124d5df56b1","IPhone","12.4","iPhone","Workplace","8/15/2019 03:31:12"
"True","8b67ce9a-521c-4b33-868a-ecfccf14a191","Windows 10 Enterprise","10.0 (15063)","PMSCYUL1PLAP913","ServerAd","11/16/2018 22:34:42"
"True","e18c2f8d-2542-441d-a20f-a712f3394481","Windows","10.0.17134.0","PMSCYUL1PLAP841","Workplace","8/15/2019 22:06:19"
"True","5508d6f0-5e85-41a9-bd8d-a7c2454178a3","Windows","10.0.17134.1304","PMSCYUL3PWKS083","ServerAd","3/4/2021 15:47:16"
